Center: x=250, y=250
Point 822: x=354.459, y=420.553
Point 823: x=58.89, y=308.966
Point 824: x=361.847, y=84.198
Point 825: x=442.876, y=302.905
Point 826: x=447.094, y=283.969
Point 827: x=436.356, y=177.396
Point 828: x=50.312, y=238.841
Point 829: x=255.073, y=50.064
Point 830: x=225.868, y=448.539
Point 831: x=438.561, y=183.331
Point 832: x=378.191, y=403.515
Point 833: x=120.343, y=402.279
Point 834: x=234.058, y=50.636
Point 835: x=449.363, y=265.951
Point 836: x=381.504, y=99.312
Point 837: x=50.016, y=247.468
Point 838: x=202.048, y=55.834
Point 839: x=205.548, y=444.997
Point 840: x=164.605, y=69.147
Point 841: x=410.136, y=369.819
Point 842: x=86.586, y=134.693
Point 843: x=200.921, y=56.115
Point 844: x=439.087, y=315.163
Point 845: x=188.978, y=59.536
Point 846: x=391.051, y=108.21
Point 847: x=115.049, y=102.392
Point 848: x=297.716, y=444.225
Point 849: x=186.029, y=439.493
Point 850: x=436.478, y=322.29
Point 851: x=389.206, y=393.602
Point 852: x=357.712, y=418.517
Point 853: x=50.025, y=246.83
Point 854: x=301.207, y=443.333
Point 855: x=61.285, y=183.769
Point 856: x=54.928, y=294.125
Point 857: x=125.562, y=93.427
Point 858: x=307.834, y=441.455
Point 859: x=177.164, y=436.266
Point 860: x=345.826, y=74.451
Point 861: x=432.228, y=332.42
Point 862: x=377.377, y=404.192
Point 863: x=88.401, y=367.838
Point 864: x=143.275, y=419.144
Point 865: x=275.841, y=51.676
Point 866: x=449.996, y=248.671
Point 867: x=240.881, y=50.208
Point 868: x=80.582, y=356.29
Point 869: x=81.58, y=357.864
Point 870: x=329.553, y=66.502
Point 871: x=449.229, y=267.548
Point 872: x=370.596, y=90.449
Point 873: x=358.948, y=82.279
Point 874: x=124.477, y=405.704
Point 875: x=404.52, y=376.979
Point 876: x=449.872, y=242.834
Point 877: x=166.499, y=431.735
Point 878: x=292.065, y=54.474
Point 879: x=353.037, y=78.584
Point 880: x=57.777, y=194.772
Point 881: x=409.561, y=370.583
Point 882: x=371.709, y=91.296
Point 883: x=439.265, y=185.357
Point 884: x=362.098, y=415.633
Point 885: x=369.536, y=410.347
Point 886: x=235.307, y=449.46
Point 887: x=359.235, y=417.534
Point 888: x=407.157, y=126.3
Point 889: x=129.549, y=409.66
Point 890: x=219.314, y=447.632
Point 891: x=439.279, y=185.398
Point 892: x=71.805, y=340.811
Point 893: x=374.883, y=406.219
Point 894: x=357.29, y=81.213
Point 895: x=79.366, y=145.674
Point 896: x=210.582, y=446.077
Point 897: x=419.547, y=356.084
Point 898: x=207.757, y=54.512
Point 899: x=445.385, y=292.718
Point 900: x=312.292, y=440.052
Point 901: x=73.21, y=343.516
Point 902: x=325.489, y=64.794
Point 903: x=437.189, y=179.57
Point 904: x=120.041, y=402.022
Point 905: x=230.515, y=50.951
Point 906: x=51.846, y=277.109
Point 907: x=55.544, y=203.235
Point 908: x=129.594, y=90.305
Point 909: x=185.928, y=60.541
Point 910: x=416.039, y=138.506
Point 911: x=101.489, y=116.043
Point 912: x=187.96, y=440.134
Point 913: x=356.924, y=80.981
Point 914: x=237.292, y=50.404
Point 915: x=260.551, y=449.722
Point 916: x=84.134, y=138.248
Point 917: x=442.019, y=194.066
Point 918: x=100.779, y=383.166
Point 919: x=443.082, y=197.853
Point 920: x=238.708, y=449.681
Point 921: x=52.307, y=219.709
Point 922: x=449.87, y=257.202
Point 923: x=352.585, y=78.313
Point 924: x=320.033, y=62.663
Point 925: x=63.137, y=321.29
Point 926: x=67.904, y=332.711
Point 927: x=237.414, y=50.396
Point 928: x=179.026, y=63.017
Point 929: x=63.221, y=178.49
Point 930: x=421.542, y=352.827
Point 931: x=289.131, y=446.135
Point 932: x=94.163, y=375.359
Point 933: x=50.642, y=266.006
Point 934: x=246.742, y=50.027
Point 935: x=156.562, y=73.169
Point 936: x=50.304, y=261.014
Point 937: x=446.964, y=284.714
Point 938: x=51.279, y=227.421
Point 939: x=236.485, y=50.457
Point 940: x=189.336, y=59.422
Point 941: x=70.607, y=338.421
Point 942: x=125.855, y=93.195
Point 943: x=101.338, y=383.789
Point 944: x=395.891, y=113.194
Point 945: x=366.845, y=87.682
Point 946: x=389.626, y=106.806
Point 947: x=419.724, y=144.2
Point 948: x=62.912, y=179.302
Point 949: x=216.899, y=52.758
Point 950: x=55.195, y=295.286
Point 951: x=394.347, y=111.566
Point 952: x=82.115, y=358.695
Point 953: x=54.19, y=209.275
Point 954: x=174.279, y=435.112
Point 955: x=380.919, y=401.196
Point 956: x=427.336, y=342.476
Point 957: x=168.71, y=67.265
Point 958: x=169.697, y=66.83
Point 959: x=264.229, y=50.507
Point 960: x=423.659, y=349.209
Point 961: x=440.991, y=190.651
Point 962: x=445.736, y=291.08
Point 963: x=120.356, y=97.709
Point 964: x=108.284, y=108.874
Point 965: x=360.977, y=416.385
Point 966: x=449.997, y=248.977
Point 967: x=340.247, y=428.481
Point 968: x=449.643, y=261.942
Point 969: x=303.575, y=57.309
Point 970: x=206.421, y=445.194
Point 971: x=50.855, y=231.524
Point 972: x=80.086, y=355.496
Point 973: x=63.906, y=323.272
Point 974: x=431.915, y=333.108
Point 975: x=75.39, y=347.525
Point 976: x=68.758, y=334.565
Point 977: x=423.144, y=350.105
Point 978: x=316.833, y=438.503
Point 979: x=96.185, y=377.832
Point 980: x=345.474, y=425.74
Point 981: x=122.316, y=96.062
Point 982: x=179.494, y=437.16
Point 983: x=447.383, y=282.25
Point 984: x=252.414, y=50.015
Point 985: x=356.061, y=80.439
Point 986: x=56.557, y=199.207
Point 987: x=448.261, y=223.683
Point 988: x=61.856, y=317.836
Point 989: x=230.905, y=50.914
Point 990: x=116.645, y=399.052
Point 991: x=441.045, y=309.177
Point 992: x=109.014, y=391.856
Point 993: x=208.125, y=54.433
Point 994: x=432.099, y=332.703
Point 995: x=302.012, y=56.881
Point 996: x=432.063, y=332.783
Point 997: x=180.95, y=437.702
Point 998: x=449.75, y=240.007
Point 999: x=436.593, y=321.993
Point 1000: x=319.857, y=62.597
Point 1001: x=201.582, y=444.051
Point 1002: x=291.557, y=54.365
Point 1003: x=189.127, y=59.489
Point 1004: x=51.54, y=274.774
Point 1005: x=197.007, y=57.148
Point 1006: x=171.922, y=434.13
Point 1007: x=259.849, y=50.243
Point 1008: x=63.185, y=321.416
Point 1009: x=304.241, y=57.496
Point 1010: x=439.837, y=187.055
Point 1011: x=75.117, y=152.965
Point 1012: x=265.814, y=50.626
Point 1013: x=448.246, y=223.574
Point 1014: x=136.277, y=414.521
Point 1015: x=121.386, y=96.839
Point 1016: x=141.387, y=82.062
Point 1017: x=364.93, y=86.32
Point 1018: x=131.188, y=89.116
Point 1019: x=306.612, y=58.179
Point 1020: x=249.135, y=449.998
Point 1021: x=191.227, y=441.169
Point 1022: x=133.146, y=412.312
Point 1023: x=446.186, y=288.873
Point 1024: x=270.844, y=51.089
Point 1025: x=260.693, y=50.286
Point 1026: x=434.905, y=326.225
Point 1027: x=71.326, y=339.864
Point 1028: x=438.073, y=181.965
Point 1029: x=290.047, y=54.05
Point 1030: x=433.892, y=171.364
Point 1031: x=151.245, y=423.918
Point 1032: x=325.683, y=64.873
Point 1033: x=57.169, y=303.068
Point 1034: x=374.3, y=406.683
Point 1035: x=387.066, y=395.647
Point 1036: x=52.9, y=216.066
Point 1037: x=198.294, y=56.799
Point 1038: x=400.796, y=118.62
Point 1039: x=246.3, y=50.034
Point 1040: x=55.971, y=298.507
Point 1041: x=449.981, y=247.215
Point 1042: x=431.116, y=334.836
Point 1043: x=177.811, y=63.482
Point 1044: x=155.486, y=73.742
Point 1045: x=72.462, y=342.089
Point 1046: x=441.694, y=307.038
Point 1047: x=104.358, y=112.929
Point 1048: x=51.97, y=221.997
Point 1049: x=207.898, y=445.518
Point 1050: x=429.548, y=338.105
Point 1051: x=174.574, y=64.768
Point 1052: x=448.759, y=272.249
Point 1053: x=338.438, y=429.384
Point 1054: x=261.128, y=449.69
Point 1055: x=179.121, y=62.981
Point 1056: x=190.385, y=59.091
Point 1057: x=320.868, y=62.977
Point 1058: x=165.582, y=431.311
Point 1059: x=51.872, y=222.698
Point 1060: x=447.923, y=221.248
Point 1061: x=354.53, y=420.509
Point 1062: x=51.057, y=270.53
Point 1063: x=414.348, y=136.028
Point 1064: x=53.384, y=213.362
Point 1065: x=414.348, y=363.973
Point 1066: x=401.097, y=118.966
Point 1067: x=271.026, y=448.892
Point 1068: x=53.942, y=210.487
Point 1069: x=422.769, y=149.248
Point 1070: x=50.352, y=261.855
Point 1071: x=269.871, y=50.99
Point 1072: x=140.921, y=82.364
Point 1073: x=166.759, y=68.146
Point 1074: x=50.692, y=233.373
Point 1075: x=50.359, y=238.02
Point 1076: x=70.844, y=161.099
Point 1077: x=405.776, y=375.434
Point 1078: x=412.934, y=134.015
Point 1079: x=149.355, y=422.831
Point 1080: x=308.068, y=58.615
Point 1081: x=172.755, y=434.481
Point 1082: x=264.783, y=449.453
Point 1083: x=293.552, y=445.2
Point 1084: x=293.11, y=54.701
Point 1085: x=50.363, y=237.96
Point 1086: x=253.533, y=449.969
Point 1087: x=82.748, y=140.333
Point 1088: x=449.488, y=264.303
Point 1089: x=445.635, y=291.556
Point 1090: x=198.087, y=443.145
Point 1091: x=127.874, y=91.617
Point 1092: x=131.226, y=410.912
Point 1093: x=60.551, y=185.897
Point 1094: x=208.187, y=54.42
Point 1095: x=292.851, y=445.356
Point 1096: x=403.183, y=121.412
Point 1097: x=443.698, y=200.191
Point 1098: x=438.534, y=316.744
Point 1099: x=92.55, y=373.327
Point 1100: x=427.461, y=157.764
Point 1101: x=430.804, y=335.499
Point 1102: x=426.704, y=156.322
Point 1103: x=430.673, y=164.226
Point 1104: x=312.809, y=60.118
Point 1105: x=149.709, y=423.037
Point 1106: x=438.781, y=316.043
Point 1107: x=330.019, y=66.705
Point 1108: x=438.753, y=183.875
Point 1109: x=367.463, y=411.871
Point 1110: x=442.402, y=304.604
Point 1111: x=191.458, y=441.24
Point 1112: x=409.18, y=371.085
Point 1113: x=130.698, y=89.479
Point 1114: x=282.457, y=447.349
Point 1115: x=119.68, y=401.712
Point 1116: x=302.597, y=442.96
Point 1117: x=411.135, y=368.472
Point 1118: x=61.985, y=181.808
Point 1119: x=104.3, y=112.991
Point 1120: x=80.005, y=144.635
Point 1121: x=66.173, y=328.789
Point 1122: x=79.882, y=144.834
Point 1123: x=361.984, y=415.709
Point 1124: x=421.362, y=353.127
Point 1125: x=351.382, y=422.4
Point 1126: x=64.477, y=324.708
Point 1127: x=331.814, y=67.499
Point 1128: x=325.944, y=64.98
Point 1129: x=370.071, y=90.053
Point 1130: x=430.59, y=335.95
Point 1131: x=314.79, y=439.215
Point 1132: x=240.797, y=50.212
Point 1133: x=176.887, y=436.157
Point 1134: x=50.796, y=267.829
Point 1135: x=240.354, y=449.767
Point 1136: x=207.838, y=54.495
Point 1137: x=143.919, y=419.549
Point 1138: x=179.579, y=62.808
Point 1139: x=441.258, y=308.485
Point 1140: x=413.297, y=134.527
Point 1141: x=362.261, y=84.478
Point 1142: x=53.045, y=284.766
Point 1143: x=60.795, y=314.82
Point 1144: x=229.21, y=448.916
Point 1145: x=182.968, y=438.432
Point 1146: x=448.969, y=229.717
Point 1147: x=57.842, y=305.455
Point 1148: x=152.95, y=75.125
Point 1149: x=249.927, y=450.0
Point 1150: x=78.223, y=352.434
Point 1151: x=371.633, y=91.238
Point 1152: x=379.229, y=402.643
Point 1153: x=129.146, y=90.644
Point 1154: x=349.582, y=76.555
Point 1155: x=111.626, y=394.404
Point 1156: x=358.811, y=82.19
Point 1157: x=254.636, y=50.054
Point 1158: x=50.886, y=231.193
Point 1159: x=266.202, y=449.343
Point 1160: x=143.211, y=419.104
Point 1161: x=159.354, y=428.279
Point 1162: x=92.289, y=127.007
Point 1163: x=207.134, y=54.648
Point 1164: x=50.143, y=257.562
Point 1165: x=284.652, y=446.975
Point 1166: x=73.05, y=343.213
Point 1167: x=333.868, y=431.566
Point 1168: x=244.955, y=50.064
Point 1169: x=274.975, y=448.435
Point 1170: x=72.712, y=157.431
Point 1171: x=446.652, y=213.558
Point 1172: x=230.195, y=449.017
Point 1173: x=175.989, y=64.198
Point 1174: x=74.734, y=346.342
Point 1175: x=405.135, y=123.773
Point 1176: x=81.724, y=141.912
Point 1177: x=429.437, y=338.332
Point 1178: x=408.427, y=127.931
Point 1179: x=50.005, y=251.4
Point 1180: x=63.579, y=322.438
Point 1181: x=76.223, y=150.997
Point 1182: x=284.256, y=52.955
Point 1183: x=96.034, y=122.351
Point 1184: x=53.091, y=285.028
Point 1185: x=176.916, y=63.831
Point 1186: x=55.224, y=204.587
Point 1187: x=425.391, y=346.115
Point 1188: x=99.468, y=381.682
Point 1189: x=50.933, y=269.293
Point 1190: x=133.527, y=87.415
Point 1191: x=226.798, y=448.65
Point 1192: x=267.238, y=50.744
Point 1193: x=445.691, y=291.291
Point 1194: x=56.28, y=200.274
Point 1195: x=92.424, y=126.834
Point 1196: x=448.945, y=270.52
Point 1197: x=238.861, y=449.69
Point 1198: x=51.42, y=226.207
Point 1199: x=326.944, y=434.607
Point 1200: x=212.553, y=446.463
Point 1201: x=304.137, y=57.466
Point 1202: x=88.988, y=368.639
Point 1203: x=252.115, y=50.011
Point 1204: x=130.608, y=410.454
Point 1205: x=428.431, y=159.655
Point 1206: x=433.872, y=171.316
Point 1207: x=190.963, y=58.912
Point 1208: x=50.417, y=237.085
Point 1209: x=212.745, y=446.499
Point 1210: x=290.183, y=54.078
Point 1211: x=290.73, y=54.191
Point 1212: x=70.868, y=161.052
Point 1213: x=63.172, y=321.38
Point 1214: x=281.427, y=447.515
Point 1215: x=270.239, y=51.027
Point 1216: x=315.814, y=61.139
Point 1217: x=179.997, y=437.349
Point 1218: x=64.013, y=176.456
Point 1219: x=449.338, y=266.265
Point 1220: x=147.272, y=421.601
Point 1221: x=111.546, y=105.672
Point 1222: x=78.656, y=353.156
Point 1223: x=199.136, y=443.424
Point 1224: x=53.225, y=285.77
Point 1225: x=52.912, y=215.992
Point 1226: x=50.117, y=256.845
Point 1227: x=54.337, y=291.422
Point 1228: x=312.909, y=439.849
Point 1229: x=388.33, y=394.447
Point 1230: x=393.586, y=389.223
Point 1231: x=171.085, y=433.773
Point 1232: x=297.749, y=444.217
Point 1233: x=88.426, y=367.872
Point 1234: x=88.88, y=131.507
Point 1235: x=449.83, y=258.243
Point 1236: x=375.964, y=94.651
Point 1237: x=57.238, y=303.319
Point 1238: x=287.546, y=53.556
Point 1239: x=193.334, y=58.195
Point 1240: x=219.791, y=447.705
Point 1241: x=85.532, y=363.799
Point 1242: x=449.933, y=244.836
Point 1243: x=361.497, y=83.962
Point 1244: x=448.155, y=222.894
Point 1245: x=432.472, y=331.878
Point 1246: x=449.987, y=247.726
Point 1247: x=449.952, y=245.616
Point 1248: x=249.762, y=450.0
Point 1249: x=275.093, y=51.58
Point 1250: x=192.045, y=58.581
Point 1251: x=66.392, y=170.702
Point 1252: x=326.077, y=65.034
Point 1253: x=417.374, y=140.52
Point 1254: x=391.791, y=108.95
Point 1255: x=164.775, y=430.933
Point 1256: x=52.173, y=279.404
Point 1257: x=449.568, y=263.145
Point 1258: x=68.167, y=166.713
Point 1259: x=449.573, y=236.942
Point 1260: x=329.512, y=66.485
Point 1261: x=389.986, y=392.843
Point 1262: x=50.06, y=245.086
Point 1263: x=59.942, y=312.272
Point 1264: x=449.805, y=241.177
Point 1265: x=406.068, y=124.929
Point 1266: x=50.412, y=262.838
Point 1267: x=110.088, y=107.085
Point 1268: x=220.663, y=447.837
Point 1269: x=438.942, y=184.419
Point 1270: x=281.354, y=52.473
Point 1271: x=57.782, y=194.752
Point 1272: x=430.258, y=336.643
Point 1273: x=339.352, y=71.069
Point 1274: x=110.583, y=393.398
Point 1275: x=113.542, y=396.216
Point 1276: x=142.037, y=418.357
Point 1277: x=449.792, y=259.116
Point 1278: x=406.558, y=125.542
Point 1279: x=302.175, y=443.075
Point 1280: x=305.372, y=57.818
Point 1281: x=50.037, y=246.179
Point 1282: x=66.081, y=171.426
Point 1283: x=441.619, y=307.291
Point 1284: x=281.2, y=447.551
Point 1285: x=165.354, y=431.204
Point 1286: x=431.24, y=165.43
Point 1287: x=389.358, y=393.455
Point 1288: x=117.319, y=399.652
Point 1289: x=449.004, y=269.931
Point 1290: x=396.85, y=385.776
Point 1291: x=410.301, y=369.597
Point 1292: x=150.776, y=76.349
Point 1293: x=169.716, y=66.821
Point 1294: x=76.978, y=149.683
Point 1295: x=142.751, y=81.187
Point 1296: x=244.402, y=449.922
Point 1297: x=444.283, y=202.521
Point 1298: x=50.384, y=237.605
Point 1299: x=223.96, y=51.703
Point 1300: x=259.269, y=50.215
Point 1301: x=53.231, y=285.802
Point 1302: x=438.267, y=317.495
Point 1303: x=233.069, y=50.718
Point 1304: x=72.72, y=157.415
Point 1305: x=258.65, y=50.187
Point 1306: x=387.919, y=394.839
Point 1307: x=191.073, y=58.878
Point 1308: x=92.127, y=127.216
Point 1309: x=213.898, y=446.715
Point 1310: x=403.04, y=378.758
Point 1311: x=262.162, y=449.63
Point 1312: x=146.972, y=421.421
Point 1313: x=122.051, y=96.282
Point 1314: x=70.698, y=161.396
Point 1315: x=55.989, y=201.423
Point 1316: x=386.352, y=103.685
Point 1317: x=449.993, y=248.354
Point 1318: x=249.852, y=50.0
Point 1319: x=442.06, y=305.793
Point 1320: x=155.904, y=73.518
Point 1321: x=349.033, y=76.24
Point 1322: x=110.275, y=393.098
Point 1323: x=54.739, y=206.718
Point 1324: x=104.231, y=113.065
Point 1325: x=369.75, y=89.813
Point 1326: x=446.173, y=288.94
Point 1327: x=434.169, y=327.986
Point 1328: x=395.031, y=387.717
Point 1329: x=56.0, y=201.381
Point 1330: x=268.227, y=449.168
Point 1331: x=330.235, y=66.8
Point 1332: x=77.331, y=350.923
Point 1333: x=435.559, y=324.618
Point 1334: x=447.44, y=281.899
Point 1335: x=358.38, y=418.089
Point 1336: x=336.189, y=69.524
Point 1337: x=57.963, y=194.126
Point 1338: x=182.15, y=61.861
Point 1339: x=245.131, y=449.941
Point 1340: x=391.839, y=391.003
Point 1341: x=338.007, y=429.596
Point 1342: x=115.368, y=102.101
Point 1343: x=409.513, y=129.353
Point 1344: x=65.955, y=328.278
Point 1345: x=234.813, y=50.577
Point 1346: x=57.646, y=304.771
Point 1347: x=406.641, y=374.352
Point 1348: x=176.326, y=435.936
Point 1349: x=149.41, y=422.863
Point 1350: x=448.236, y=223.493
Point 1351: x=375.677, y=94.419
Point 1352: x=99.309, y=381.5
Point 1353: x=141.731, y=81.84
Point 1354: x=424.48, y=152.242
Point 1355: x=54.375, y=291.603
Point 1356: x=334.229, y=68.601
Point 1357: x=419.685, y=355.863
Point 1358: x=343.523, y=73.213
Point 1359: x=165.252, y=431.157
Point 1360: x=313.033, y=60.193
Point 1361: x=74.008, y=154.991
Point 1362: x=80.753, y=143.438
Point 1363: x=248.874, y=449.997
Point 1364: x=438.208, y=317.659
Point 1365: x=50.006, y=251.504
Point 1366: x=54.579, y=292.552
Point 1367: x=448.584, y=273.755
Point 1368: x=98.188, y=380.204
Point 1369: x=408.062, y=127.458
Point 1370: x=93.311, y=125.708
Point 1371: x=418.503, y=142.265
Point 1372: x=397.329, y=385.256
Point 1373: x=413.998, y=135.525
Point 1374: x=50.436, y=263.197
Point 1375: x=63.562, y=177.606
Point 1376: x=387.778, y=394.973
Point 1377: x=147.892, y=78.029
Point 1378: x=305.355, y=57.813
Point 1379: x=197.467, y=442.977
Point 1380: x=139.288, y=416.562
Point 1381: x=446.485, y=212.668
Point 1382: x=50.501, y=235.854
Point 1383: x=59.006, y=309.341
Point 1384: x=102.918, y=385.524
Point 1385: x=379.811, y=402.149
Point 1386: x=425.628, y=154.319
Point 1387: x=418.091, y=141.623
Point 1388: x=210.877, y=53.864
Point 1389: x=59.269, y=189.82
Point 1390: x=50.135, y=257.348
Point 1391: x=220.872, y=447.868
Point 1392: x=241.25, y=50.192
Point 1393: x=249.058, y=449.998
Point 1394: x=55.4, y=203.841
Point 1395: x=343.419, y=426.841
Point 1396: x=362.968, y=84.96
Point 1397: x=449.999, y=250.454
Point 1398: x=390.909, y=391.932
Point 1399: x=441.275, y=308.428
Point 1400: x=422.384, y=148.591
Point 1401: x=64.622, y=174.934
Point 1402: x=50.001, y=250.731
Point 1403: x=342.997, y=427.064
Point 1404: x=71.855, y=340.909
Point 1405: x=223.964, y=448.298
Point 1406: x=173.465, y=434.777
Point 1407: x=437.003, y=320.922
Point 1408: x=427.518, y=342.127
Point 1409: x=449.993, y=248.362
Point 1410: x=444.376, y=202.904
Point 1411: x=260.953, y=449.7
Point 1412: x=373.557, y=92.731
Point 1413: x=65.52, y=172.754
Point 1414: x=149.57, y=77.044
Point 1415: x=111.018, y=393.819
Point 1416: x=53.246, y=214.115
Point 1417: x=388.47, y=394.312
Point 1418: x=90.722, y=129.043
Point 1419: x=53.189, y=214.429
Point 1420: x=85.424, y=363.642
Point 1421: x=206.829, y=54.715
Point 1422: x=53.776, y=288.679
Point 1423: x=369.596, y=410.302
Point 1424: x=80.035, y=355.413
Point 1425: x=63.693, y=177.271
Point 1426: x=311.211, y=59.597
Point 1427: x=359.585, y=417.305
Point 1428: x=270.2, y=51.023
Point 1429: x=64.351, y=175.605
Point 1430: x=378.79, y=403.013
Point 1431: x=55.483, y=203.492
Point 1432: x=124.234, y=405.508
Point 1433: x=408.545, y=128.084
Point 1434: x=390.132, y=392.699
Point 1435: x=94.001, y=124.843
Point 1436: x=243.603, y=449.898
Point 1437: x=336.638, y=69.739
Point 1438: x=61.63, y=182.792
Point 1439: x=386.531, y=396.148
Point 1440: x=192.868, y=441.666
Point 1441: x=125.676, y=93.336
Point 1442: x=449.749, y=239.978
Point 1443: x=105.286, y=111.95
Point 1444: x=175.705, y=435.689
Point 1445: x=103.531, y=113.813
Point 1446: x=361.942, y=415.738
Point 1447: x=319.163, y=62.339
Point 1448: x=359.386, y=417.436
Point 1449: x=50.023, y=253.033
Point 1450: x=449.504, y=235.93
Point 1451: x=281.712, y=447.47
Point 1452: x=441.691, y=192.95
Point 1453: x=405.431, y=375.862
Point 1454: x=407.712, y=127.008
Point 1455: x=74.323, y=154.41
Point 1456: x=267.217, y=449.258
Point 1457: x=51.491, y=274.374
Point 1458: x=212.676, y=446.486
Point 1459: x=403.525, y=378.179
Point 1460: x=445.612, y=291.667
Point 1461: x=270.108, y=448.987
Point 1462: x=295.015, y=55.132
Point 1463: x=61.661, y=182.708
Point 1464: x=416.848, y=360.281
Point 1465: x=312.204, y=59.919
Point 1466: x=164.687, y=69.109
Point 1467: x=158.964, y=71.92
Point 1468: x=207.576, y=54.551
Point 1469: x=430.241, y=163.321
Point 1470: x=180.288, y=437.457
Point 1471: x=192.291, y=58.507
Point 1472: x=443.571, y=199.7
Point 1473: x=441.379, y=191.914
Point 1474: x=439.897, y=187.237
Point 1475: x=323.3, y=436.083
Point 1476: x=76.014, y=151.366
Point 1477: x=414.396, y=363.903
Point 1478: x=118.217, y=99.557
Point 1479: x=57.003, y=197.537
Point 1480: x=438.733, y=316.18
Point 1481: x=50.254, y=260.068
Point 1482: x=444.497, y=296.593
Point 1483: x=317.683, y=438.199
Point 1484: x=321.23, y=63.114
Point 1485: x=60.922, y=184.81
Point 1486: x=86.145, y=135.32
Point 1487: x=92.292, y=372.996
Point 1488: x=397.475, y=114.904
Point 1489: x=273.185, y=51.348
Point 1490: x=226.475, y=448.612
Point 1491: x=441.321, y=191.724
Point 1492: x=111.327, y=105.883
Point 1493: x=299.344, y=56.183
Point 1494: x=201.579, y=444.05
Point 1495: x=226.262, y=448.586
Point 1496: x=152.381, y=75.442
Point 1497: x=94.454, y=124.28
Point 1498: x=309.975, y=440.796
Point 1499: x=171.78, y=434.07
Point 1500: x=149.904, y=76.85
Point 1501: x=320.351, y=62.781
Point 1502: x=142.76, y=81.182
Point 1503: x=438.004, y=318.223
Point 1504: x=150.037, y=76.774
Point 1505: x=167.093, y=432.007
Point 1506: x=50.974, y=230.29
Point 1507: x=58.406, y=307.372
Point 1508: x=53.116, y=214.833
Point 1509: x=401.822, y=380.193
Point 1510: x=221.411, y=52.054
Point 1511: x=203.54, y=55.471
Point 1512: x=449.983, y=252.641
Point 1513: x=192.546, y=58.43
Point 1514: x=58.002, y=193.993
Point 1515: x=359.738, y=82.795
Point 1516: x=446.92, y=215.033
Point 1517: x=340.771, y=428.215
Point 1518: x=172.875, y=65.469
Point 1519: x=186.936, y=60.203
Point 1520: x=61.381, y=183.495
Point 1521: x=56.06, y=201.14
Point 1522: x=71.126, y=339.465
Point 1523: x=445.981, y=210.108
Point 1524: x=448.335, y=275.751
Point 1525: x=316.075, y=438.77
Point 1526: x=254.374, y=50.048
Point 1527: x=414.387, y=136.083
Point 1528: x=180.498, y=62.465
Point 1529: x=442.155, y=194.535
Point 1530: x=429.491, y=338.222
Point 1531: x=379.224, y=97.353
Point 1532: x=51.068, y=270.643
Point 1533: x=50.818, y=231.928
Point 1534: x=90.211, y=370.281
Point 1535: x=50.125, y=242.944
Point 1536: x=73.747, y=155.475
Point 1537: x=94.73, y=123.94
Point 1538: x=411.796, y=132.433
Point 1539: x=415.974, y=361.592
Point 1540: x=401.567, y=119.511
Point 1541: x=416.113, y=361.385
Point 1542: x=428.171, y=159.142
Point 1543: x=449.31, y=266.595
Point 1544: x=427.825, y=341.533
Point 1545: x=449.962, y=246.084
Point 1546: x=430.281, y=336.596
Point 1547: x=388.073, y=394.693
Point 1548: x=252.717, y=50.018
Point 1549: x=278.796, y=52.084
Point 1550: x=386.049, y=103.403
Point 1551: x=400.601, y=118.397
Point 1552: x=388.909, y=393.89
Point 1553: x=244.113, y=50.087
Point 1554: x=126.686, y=407.46
Point 1555: x=73.287, y=343.663
Point 1556: x=218.572, y=447.515
Point 1557: x=449.918, y=244.29
Point 1558: x=55.373, y=296.046
Point 1559: x=216.008, y=52.91
Point 1560: x=443.918, y=298.947
Point 1561: x=431.217, y=165.38
Point 1562: x=279.565, y=52.197
Point 1563: x=444.375, y=297.1
Point 1564: x=269.708, y=50.973
Point 1565: x=223.697, y=51.737
Point 1566: x=301.968, y=56.87
Point 1567: x=372.04, y=408.449
Point 1568: x=410.235, y=130.314
Point 1569: x=117.089, y=100.552
Point 1570: x=62.924, y=179.272
Point 1571: x=69.741, y=163.358
Point 1572: x=51.524, y=274.645
Point 1573: x=344.849, y=426.079
Point 1574: x=200.652, y=56.184
Point 1575: x=171.925, y=65.869
Point 1576: x=87.006, y=134.099
Point 1577: x=367.077, y=412.151
Point 1578: x=360.803, y=416.502
Point 1579: x=62.046, y=181.638
Point 1580: x=216.684, y=52.794
Point 1581: x=237.937, y=449.636
Point 1582: x=321.0, y=63.027
Point 1583: x=142.079, y=81.616
Point 1584: x=432.512, y=331.789
Point 1585: x=413.814, y=364.739
Point 1586: x=177.492, y=436.394
Point 1587: x=106.714, y=389.532
Point 1588: x=449.369, y=234.121
Point 1589: x=263.229, y=449.562
Point 1590: x=272.303, y=448.753
Point 1591: x=139.063, y=83.588
Point 1592: x=242.353, y=50.146
Point 1593: x=449.189, y=232.006
Point 1594: x=139.994, y=82.971
Point 1595: x=257.561, y=449.857
Point 1596: x=394.792, y=387.969
Point 1597: x=54.797, y=206.458
Point 1598: x=416.77, y=139.602
Point 1599: x=448.628, y=273.384
Point 1600: x=50.186, y=241.382
Point 1601: x=343.427, y=426.837
Point 1602: x=318.682, y=437.837
Point 1603: x=442.18, y=194.621
Point 1604: x=178.759, y=63.118
Point 1605: x=406.836, y=125.894
Point 1606: x=166.445, y=68.29
Point 1607: x=136.062, y=414.372
Point 1608: x=424.792, y=347.199
